V1	V2	V3
tomium_L0040	5.1315983093467	-1.48653292300625	11.3228394797026
tomium_L0041	3.9225688547197	-1.70331868743356	11.4309789077302
tomium_L0042	2.71034849363195	-1.90023652217712	11.5417935470903
tomium_L0043	1.49414313263501	-2.06686041278309	11.658438250856
tomium_L0044	0.274506820038014	-2.20176737342738	11.7812172128136
tomium_L0045	-0.947965284174215	-2.2978666643886	11.9121138211229
tomium_L0046	-2.17201634181214	-2.34799838641083	12.0530583545642
tomium_L0047	-3.39264957246992	-2.23460195477143	12.1269058167392
tomium_L0048	-4.51471711779602	-1.7674661394975	11.9757896227627
tomium_L0049	-5.39967097244999	-1.00354675760689	11.607256395715
tomium_L0050	-5.95898506243578	-0.148499595981075	11.0955011848352
upperbeak_palatine_R	-1.48895098783346	3.40587041172877	-7.70998014435791
upperbeak_palatine_L	-1.48895098783345	3.40587041172878	7.70998014435791
upperbeak_tip	47.1541742564997	-2.36956788659408	-2.05391259555654e-15
